Date,Position,Song,Artist,Popularity,Duration_MS,Album_Type,Total_Tracks,Release_Date,Is_Explicit,Album_Cover_URL
2025-12-14,39,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",89,214333,compilation,119,2010-10-05,False,https://i.scdn.co/image/ab67616d0000b27361a389971d7842d02b0623ab
2025-12-14,40,Sweater Weather,The Neighbourhood,93,240400,album,11,2013-04-22,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
2025-12-14,41,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",92,244684,single,3,2023-06-23,False,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262
2025-12-14,42,WILDFLOWER,Billie Eilish,93,261466,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
2025-12-14,43,Creep,Radiohead,92,238640,album,12,1993-02-22,True,https://i.scdn.co/image/ab67616d0000b273ec548c00d3ac2f10be73366d
2025-12-14,44,Christmas (Baby Please Come Home),Darlene Love,86,166453,compilation,15,2020-12-04,False,https://i.scdn.co/image/ab67616d0000b2734bd42504ca3569f71af64fc8
2025-12-14,45,KUSURA BAKMA,BLOK3,88,157800,single,1,2025-11-28,False,https://i.scdn.co/image/ab67616d0000b2736a144a0ddc1c14fa8db49b67
2025-12-14,46,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,89,227653,album,19,1980-05-16,False,https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a
2025-12-14,47,Beautiful Things,Benson Boone,89,180304,album,15,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
2025-12-14,48,Sedia Aku Sebelum Hujan,Idgitaf,85,230130,single,1,2025-10-08,False,https://i.scdn.co/image/ab67616d0000b2738dc8c573565969d55f9f3477
2025-12-14,49,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",92,256000,album,22,2025-01-31,True,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61
2025-12-14,50,The Night We Met,Lord Huron,91,208211,album,14,2015-04-06,False,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583
